State_Raw,County_Raw,Count_Total_Population,Count_Kids_0_18,Count_Working_Age_19_64,Count_Seniors_65Plus,Count_Medicaid_Enrollees,Estimated_Medicaid_Spend,Estimated_Total_County_Spend,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COGNITION,COLON_SCREEN,COPD,CSMOKING,DENTAL,DEPRESSION,DIABETES,DISABILITY,EMOTIONSPT,FOODINSECU,FOODSTAMP,GHLTH,HEARING,HIGHCHOL,HOUSINSECU,INDEPLIVE,LACKTRPT,LONELINESS,LPA,MAMMOUSE,MHLTH,MOBILITY,OBESITY,PHLTH,SELFCARE,SHUTUTILITY,SLEEP,STROKE,TEETHLOST,VISION,COST_DRIVEN_BY_DIABETES,COST_DRIVEN_BY_CANCER,COST_DRIVEN_BY_COPD,COST_DRIVEN_BY_OBESITY
Alabama,Autauga County,59285,13926,35885,9474,9518,87565600,936703000,8.8,26.3,14.3,42.0,78.2,7.0,10.0,5.6,81.0,86.8,15.9,64.6,6.4,14.5,61.9,25.1,13.3,32.4,24.3,16.5,11.3,20.0,7.9,41.3,12.4,8.8,8.5,32.6,26.0,80.9,18.0,15.4,39.8,12.8,4.0,8.3,37.7,3.2,12.0,4.8,132087929.0,157698100.0,43633760.0,80224462.0
Alabama,Baldwin County,239945,51128,137491,51326,34735,319562000,3791131000,8.8,32.9,17.1,43.8,59.1,10.2,9.4,7.5,80.7,84.9,14.0,62.9,6.0,13.3,62.4,23.9,10.4,33.9,20.9,14.2,9.1,19.3,9.0,42.8,11.0,7.8,6.8,33.3,23.7,74.1,15.1,12.3,35.0,13.2,3.2,6.4,36.4,3.8,10.9,4.8,418034099.0,930026820.0,165562050.0,285534550.0
Alabama,Barbour County,24757,5181,14695,4881,6419,59054800,391160600,14.8,28.9,12.4,45.4,63.9,6.1,10.8,7.4,81.4,81.7,19.4,62.6,11.1,20.2,45.3,22.9,19.6,44.4,30.6,32.1,26.2,31.4,9.7,43.0,21.1,12.9,14.6,39.8,36.2,75.5,19.9,20.0,47.1,17.4,7.1,16.7,44.6,5.8,27.8,9.1,81286936.0,57386726.0,31602310.0,39645860.0
Alabama,Bibb County,22152,4458,13938,3756,4710,43332000,350001600,12.6,28.2,15.3,42.4,77.4,8.3,10.4,7.0,77.3,81.5,18.9,62.8,8.9,19.9,51.2,24.4,16.2,39.6,27.3,23.5,18.1,27.6,8.4,36.7,17.2,11.5,11.6,37.2,31.9,69.2,19.9,20.0,43.7,15.6,5.6,12.0,40.6,4.7,21.4,7.2,60116629.0,69867408.0,22672572.0,32913442.0
Alabama,Blount County,59292,13738,34535,11019,12256,112755200,936813600,11.5,31.8,14.5,41.2,58.9,7.3,9.9,8.0,77.0,82.4,17.1,65.8,7.6,16.6,54.0,24.8,11.3,37.9,23.5,16.7,11.5,22.1,9.7,42.2,13.1,9.7,8.5,35.8,27.7,70.7,17.5,17.3,36.1,15.4,4.5,8.3,36.5,3.3,16.8,5.3,112238333.0,164476008.0,51821208.0,72775001.0
Alabama,Bullock County,10157,2105,6235,1817,3807,35024400,160480600,18.2,30.6,10.6,52.4,66.4,6.3,11.5,10.7,82.1,82.6,22.3,58.2,11.2,24.9,39.0,21.7,21.3,47.9,33.6,42.9,40.4,37.8,8.3,43.2,31.2,16.7,21.8,40.2,42.7,75.5,21.3,28.6,51.0,18.5,10.0,22.8,50.5,7.3,35.1,12.7,36241964.0,24315858.0,13082216.0,17612238.0
Alabama,Butler County,18807,4219,10562,4026,5116,47067200,297150600,11.8,35.2,13.4,44.8,64.7,8.4,11.1,9.1,80.1,83.2,17.9,65.5,10.3,18.3,49.0,22.5,15.2,42.1,29.8,28.6,23.5,28.9,7.3,43.4,18.7,11.9,12.8,37.5,35.1,76.4,20.2,22.2,40.7,16.6,6.2,15.1,41.8,5.5,22.2,8.1,47888339.0,60031944.0,22276892.0,26025127.0
Alabama,Calhoun County,116141,24829,70373,20939,26382,242714400,1835027800,11.0,31.6,15.6,41.5,77.1,6.9,10.6,7.7,77.6,84.7,18.0,65.1,7.8,16.3,56.7,24.6,12.9,39.0,25.9,21.5,15.1,24.4,7.6,40.4,15.5,10.7,10.8,36.8,31.0,76.3,19.3,18.3,39.1,15.3,4.4,10.7,42.8,3.6,16.6,6.3,250981630.0,304521702.0,104178477.0,154397845.0
Alabama,Chambers County,34450,7141,20425,6884,8239,75798800,544310000,12.1,34.2,13.5,48.7,62.6,8.4,10.7,8.6,81.5,85.9,18.8,59.4,8.0,18.2,48.3,22.7,14.5,41.0,28.6,24.6,19.1,27.6,7.3,41.8,19.5,11.7,12.9,35.9,34.3,77.0,18.3,17.5,41.5,14.8,5.9,13.6,42.6,5.2,17.9,6.9,83680428.0,109964400.0,31694000.0,48608950.0
Alabama,Cherokee County,25224,4747,14474,6003,4712,43350400,398539200,10.8,35.9,16.5,45.9,59.8,7.5,10.2,9.6,80.4,82.2,17.0,62.8,10.7,17.5,56.7,27.1,16.0,40.9,24.3,16.9,13.4,23.1,8.2,45.9,11.2,10.4,9.6,35.6,31.4,75.3,19.8,15.5,39.5,16.8,4.2,7.7,37.4,3.5,18.0,6.3,67608392.0,71888400.0,31038132.0,33875832.0
